ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,Australia Southeast,Australia Southeast Store 58,2019-08-06,Baby,Cribs,31,30,72737606,22904851,False,2019-08-06,1
1,Australia Southeast,Australia Southeast Store 58,2019-01-11,Clothing,Swimwear,4,12,63470726,59206879,True,2019-01-11,1
2,Australia Southeast,Australia Southeast Store 58,2019-05-28,Beauty/Health,Makeup,19,10,38202096,30251690,False,2019-05-28,1
3,Australia Southeast,Australia Southeast Store 58,2019-01-26,Furniture,Indoor tables,6,100,32678341,48402704,True,2019-01-26,1
4,Australia Southeast,Australia Southeast Store 58,2019-06-19,Beauty/Health,Feminine Products,22,10,76184076,7346839,False,2019-06-19,1
5,Australia Southeast,Australia Southeast Store 58,2019-08-08,Baby,Diapers,28,5,39462051,86001233,True,2019-08-08,1
6,Australia Southeast,Australia Southeast Store 58,2019-05-03,Clothing,Mens,20,10,15799399,13829344,False,2019-05-03,1
7,Australia Southeast,Australia Southeast Store 58,2019-03-13,Baby,Car seats,12,10,32995290,67850219,True,2019-03-13,1
8,Australia Southeast,Australia Southeast Store 58,2019-03-11,Furniture,Pool furniture,11,100,10077231,38030696,False,2019-03-11,1
9,Australia Southeast,Australia Southeast Store 58,2019-05-01,Electronics,Cell Phones,16,100,41968917,28090855,False,2019-05-01,1
10,Australia Southeast,Australia Southeast Store 58,2019-02-11,Clothing,Baby,8,10,20754329,87297734,True,2019-02-11,1
11,Australia Southeast,Australia Southeast Store 58,2019-03-19,Electronics,Computers,10,50,80076899,86433400,True,2019-03-19,1
12,Australia Southeast,Australia Southeast Store 58,2019-06-10,Electronics,Headphones,20,100,64474470,44945368,True,2019-06-10,1
13,Australia Southeast,Australia Southeast Store 58,2019-05-16,Electronics,Speakers,16,200,98709715,45377535,True,2019-05-16,1
14,Australia Southeast,Australia Southeast Store 58,2019-04-26,Baby,Car seats,18,30,20679755,34573360,False,2019-04-26,1
15,Australia Southeast,Australia Southeast Store 58,2019-08-14,Clothing,Swimwear,27,13,41465383,77357893,True,2019-08-14,1
16,Australia Southeast,Australia Southeast Store 58,2019-01-22,Furniture,Indoor tables,6,30,64358015,50995706,True,2019-01-22,1
17,Australia Southeast,Australia Southeast Store 58,2019-04-23,Furniture,Indoor seating,13,75,45319088,68282386,True,2019-04-23,1
18,Australia Southeast,Australia Southeast Store 58,2019-06-20,Beauty/Health,Makeup,23,10,89140218,78654394,True,2019-06-20,1
19,Australia Southeast,Australia Southeast Store 58,2019-04-19,Electronics,Tablets,14,100,94418321,44945368,True,2019-06-10,2
20,Australia Southeast,Australia Southeast Store 58,2019-01-17,Baby,Cribs,5,12,17755895,60503380,True,2019-01-17,1
21,Australia Southeast,Australia Southeast Store 58,2019-04-30,Clothing,Kids,17,25,49053049,24633519,False,2019-04-30,1
22,Australia Southeast,Australia Southeast Store 58,2019-06-20,Furniture,Indoor tables,21,30,76337731,71307555,True,2019-06-20,1
